Team,Age,Pace,FTr,X3PAr,TS,eFG,TOV,ORB,FTFGA,eFG.1,TOV.1,DRB,FTFGA.1,outcome,division
Memphis Grizzlies,28.1,86.3,0.339,0.258,0.537,0.496,13.9,25.8,0.241,0.469,14.7,72,0.237,1,W
Miami Heat,29.2,91.6,0.363,0.227,0.556,0.517,13.9,26.7,0.254,0.477,12.4,76.4,0.251,5,E
Milwaukee Bucks,25.5,91.2,0.322,0.203,0.535,0.492,13.8,27.3,0.238,0.504,13.8,74.6,0.262,1,E
Minnesota Timberwolves,26.7,88.8,0.299,0.149,0.524,0.48,14.2,25.2,0.226,0.475,13.4,71.3,0.236,0,W
New Jersey Nets,28.6,89.8,0.346,0.229,0.528,0.478,13.3,24,0.262,0.476,14,76.3,0.266,2,E
New OrleansOklahoma City Hornets,26.3,89,0.339,0.138,0.515,0.464,12.9,26.9,0.257,0.502,14.3,73.4,0.243,0,W
New York Knicks,25.6,90.8,0.417,0.142,0.534,0.481,16.5,31.2,0.303,0.511,13.4,72.8,0.294,0,E
Orlando Magic,25.5,88.3,0.369,0.129,0.543,0.496,14.7,28.5,0.27,0.49,13,72.5,0.264,0,E
Philadelphia 76ers,26.5,92.7,0.356,0.158,0.538,0.487,13.3,25.6,0.27,0.5,14.3,71.3,0.24,0,E
Phoenix Suns,27.5,95.8,0.206,0.293,0.568,0.537,12.2,22.1,0.166,0.49,13.2,72.1,0.2,3,W
Portland Trail Blazers,24.6,87.6,0.31,0.166,0.511,0.474,14.5,26.6,0.214,0.507,12.6,68.2,0.231,0,W
Sacramento Kings,27.2,91.9,0.334,0.217,0.544,0.492,13.9,25.4,0.262,0.488,13.7,72.2,0.21,1,W
San Antonio Spurs,29.8,88.5,0.298,0.215,0.546,0.513,13.6,26,0.209,0.457,13.5,74.2,0.22,2,W
Seattle SuperSonics,25.6,91.6,0.314,0.243,0.551,0.504,13.7,30.4,0.246,0.527,13.6,69,0.26,0,W
Toronto Raptors,25.9,91.1,0.315,0.244,0.548,0.5,12.4,25.4,0.249,0.53,13.5,73.3,0.263,0,E
Utah Jazz,25.6,87.8,0.397,0.149,0.519,0.467,15,32.4,0.286,0.49,14,73.2,0.303,0,W
Washington Wizards,26.5,92.3,0.375,0.209,0.538,0.484,12.8,29.5,0.284,0.504,15.1,70.9,0.256,1,E
Atlanta Hawks,24.1,90,0.346,0.163,0.523,0.471,15.1,29.2,0.263,0.503,14.5,70.9,0.268,0,E
Boston Celtics,23.5,92,0.337,0.199,0.53,0.479,15.4,27,0.259,0.502,14.5,73.8,0.28,0,E
Charlotte Bobcats,25.5,92,0.322,0.193,0.524,0.48,13.9,26.4,0.236,0.5,14.7,71.6,0.279,0,E
Chicago Bulls,26,93.6,0.313,0.186,0.534,0.493,14.7,28.6,0.229,0.473,16.2,74.3,0.252,2,E
Cleveland Cavaliers,26.9,90.8,0.32,0.211,0.522,0.484,13.4,29.7,0.223,0.48,14.7,75.8,0.243,4,E
